objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
boerrigter001,voiceofamerica.jpg,,Voice of America VOA News,image/jpeg,"Voice of America VOA is a United States government-funded multimedia news source and the official external broadcasting institution of the United States. VOA provides programming for broadcast on radio, television, and the Internet outside of the U.S., in English and some foreign languages. The Voice of America headquarters is located at 330 Independence Avenue SW, Washington, D.C., 20237. The VOA is fully funded by the U.S. government; the Congress appropriates funds for it annually under the same budget for embassies and consulates. VOA radio and television broadcasts are distributed by satellite, cable and on FM, AM, and shortwave radio frequencies. They are streamed on individual language service websites, social media sites and mobile platforms. VOA has affiliate and contract agreements with radio and television stations and cable networks worldwide. Some scholars and commentators consider Voice of America to be a form of propaganda, although this label is disputed by others.",,,2001,,,European Studies; Journalism; National Security; Journalism-United States; Voice of America Organization; International broadcasting-United States; Press-United States; News Web sites-United States,United States,37.0902,-95.712891,,,Government,,,https://www.loc.gov/item/lcwaN0003037/,,,,eng,
boerrigter002,svobodanews.jpg,,Svoboda News,image/jpeg,Russian newspaper in online format.,,,2003,,,European Studies; Journalism;  European Studies; Russia Federation; Journalism,United States,37.0902,-95.712891,,,Government,,,https://www.loc.gov/item/lcwaN0004292/,,,,rus,
boerrigter003,theslovakspectator.jpg,,The Slovak Spectator,image/jpeg,"The Slovak Spectator is Slovakia's only English-language newspaper. It is published weekly and covers local news, culture and business.",,,2011,,,European Studies; Journalism; Slovakia; Bratislava Slovakia; Journalism; News Web sites-Slovakia,Slovakia,48.669,19.699,,,Special Cases,,,https://www.loc.gov/item/lcwaN0004547/,,,,eng,
boerrigter004,globalvoices.jpg,,Global Voices,image/jpeg,"Website detailing children's experiences in, and artwork depicting, the Darfur Conflict.",,,2006,,,"European Studies; Journalism;  Sudan-History; Darfur Conflict, 2003- Children; Refugees-Sudan; Darfur",United States,37.0902,-95.712891,,,Not for Profit,,,https://www.loc.gov/item/lcwaN0010991/,,,,eng,
boerrigter005,russianserviceofvoiceofamerica.jpg,,Russian Service of Voice of America,image/jpeg,"Golos Ameriki reports on news about Russian-American relations, among other topics.",,,2012,,,European Studies;  Black Lives Matter Movement; Social Justice; News Web sites-Russia Federation; Racial Justice,United States,37.0902,-95.712891,,,Government,,,https://www.loc.gov/item/lcwaN0019675/,,,,rus,
boerrigter006,estonianworld.jpg,,Estonian World: Arvo Part interview and virtual performance,image/jpeg,"On April 7, 2020, Spanish news outlet ABC published a rare interview with Estonian composer Arvo Part (1935 ) by Inacs Marta­n Rodrigo in which he reflects upon the coronavirus. On April 13, 2020, the English translation by the Arvo Paort Centre was published online by Estonian World. On March 26, 2020, Estonian World published an article about the Cello Octet Amsterdam's virtual performance of Arvo Part's Da Pacem Domine in isolation.",,,2020,,,European Studies; Journalism; Music,United States,37.0902,-95.712891,,,Journalism,,,https://www.loc.gov/item/lcwaN0032516/,,,,eng,
boerrigter007,adevarul.jpg,,Adevarul,image/jpeg,"Adev?rul (The Truth) is a Romanian daily newspaper. The current paper with that name replaced Scînteia after the 1989 revolution. It is a national paper, with pages of regional content. Its closest to the National Liberal Party in ideology, but at times even more libertarian and pro free market than the party.",,,2024,,,"Journalism; Press; Afghanistan- 2001 - History; September 11 Terrorist Attacks, 2001",Romania,45.9432,24.9668,,,Journalism,,,https://www.loc.gov/item/lcwaN0020527/,,,,"rum, ron",
boerrigter008,thekyivpost.jpg,,Kyiv Post,image/jpeg,The Kyiv Post is Ukraine’s English-language newspaper active since 1995 covering all issues of life in Ukraine. Website. ,,,2022,,,Journalism; European Studies; International Relations; Social Sciences,Ukraine,48.3794,31.1656,,,Journalism,,,https://www.loc.gov/item/lcwaN0039490/,,,,eng,
boerrigter009,unianiInformatsiineahentstvo.jpg,,UNIAN Informatsiine Ahentstvo. UNIAN News Agency.,image/jpeg,Website provides up to date news and information on various subject of life in Ukraine.,,,2022,,,Journalism; European Studies; International Relations; Social Sciences; Government,Ukraine,48.3794,31.1656,,,Journalism,,,https://www.loc.gov/item/lcwaN0039481/,,,,"rus, ukr",
boerrigter010,morganbladid.jpg,,Morgunbladid,image/jpeg,"Morgunbladid á Netinu, a Web Site produced by Morgunbladid, a press organization, is part of the Library of Congress September 11 Web Archive and preserves the web expressions of individuals, groups, the press and institutions in the United States and from around the world in the aftermath of the attacks in the United States on September 11, 2001.",,,2024,,,"Journalism; Press; Bioterrorism; Afghanistan- 2001 - History; September 11 Terrorist Attacks, 2001",Iceland,64.9631,19.0208,,,Journalism,,,https://www.loc.gov/item/lcwaN0021643/,,,,ice,
