objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
boerrigter001,voiceofamerica.JPG,Voice of America VOA News,,2001,"""Voice of America VOA is a United States government-funded multimedia news source and the official external broadcasting institution of the United States. VOA provides programming for broadcast on radio, television, and the Internet outside of the U.S., in English and some foreign languages. The VOA charter√¢‚Ç¨‚Äùsigned into law in 1976 by President Gerald Ford√¢‚Ç¨‚Äùrequires VOA to 'serve as a consistently reliable and authoritative source of news' and 'be accurate, objective and comprehensive.' The Voice of America headquarters is located at 330 Independence Avenue SW, Washington, D.C., 20237. The VOA is fully funded by the U.S. government; the Congress appropriates funds for it annually under the same budget for embassies and consulates. VOA radio and television broadcasts are distributed by satellite, cable and on FM, AM, and shortwave radio frequencies. They are streamed on individual language service websites, social media sites and mobile platforms. VOA has affiliate and contract agreements with radio and television stations and cable networks worldwide. Some scholars and commentators consider Voice of America to be a form of propaganda, although this label is disputed by others."" ",European Studies; Journalism; National Security; Journalism-United States; Voice of America Organization; International broadcasting-United States; Press-United States; News Web sites-United States,United States,37.0902,-95.712891,Government,https://www.loc.gov/item/lcwaN0003037/,,image/jpeg,eng,,,,,
boerrigter002,svobodanews.JPG,Svoboda News,,2003,Russian newspaper in online format.,European Studies; Journalism;  European Studies; Russia Federation; Journalism,United States,37.0902,-95.712891,Government,https://www.loc.gov/item/lcwaN0004292/,,image/jpeg,rus,,,,,
boerrigter003,theslovakspectator.JPG,The Slovak Spectator,,2011,"The Slovak Spectator is Slovakia's only English-language newspaper. It is published weekly and covers local news, culture and business.",European Studies; Journalism; Slovakia; Bratislava Slovakia; Journalism; News Web sites-Slovakia,Slovakia,48.669,19.699,Special Cases,https://www.loc.gov/item/lcwaN0004547/,,image/jpeg,eng,,,,,
boerrigter004,globalvoices.JPG,Global Voices,,2006,"Website detailing children's experiences in, and artwork depicting, the Darfur Conflict.","European Studies; Journalism;  Sudan-History; Darfur Conflict, 2003- Children; Refugees-Sudan; Darfur",United States,37.0902,-95.712891,Not for Profit,https://www.loc.gov/item/lcwaN0010991/,,image/jpeg,eng,,,,,
boerrigter005,russianserviceofvoiceofamerica.JPG,Russian Service of Voice of America,,2012,"Golos Ameriki reports on news about Russian-American relations, among other topics.",European Studies;  Black Lives Matter Movement; Social Justice; News Web sites-Russia Federation; Racial Justice,United States,37.0902,-95.712891,Government,https://www.loc.gov/item/lcwaN0019675/,,image/jpeg,rus,,,,,
boerrigter006,estonianworld.JPG,Estonian World: Arvo Part interview and virtual performance,,2020,"On April 7, 2020, Spanish news outlet ABC published a rare interview with Estonian composer Arvo P√§rt b. 1935 by In√©s Mart√≠n Rodrigo in which he reflects upon the coronavirus. On April 13, 2020, the English translation by the Arvo P√§rt Centre was published online by Estonian World. On March 26, 2020, Estonian World published an article about the Cello Octet Amsterdam's virtual performance of Arvo P√§rt's ‚ÄúDa Pacem Domine‚Äù in isolation.",European Studies; Journalism; Music,United States,37.0902,-95.712891,Journalism,https://www.loc.gov/item/lcwaN0032516/,,image/jpeg,eng,,,,,
boerrigter007,adevarul.JPG,Adevarul,,2024,"Adev?rul (The Truth) is a Romanian daily newspaper. The current paper with that name replaced ScÓnteia after the 1989 revolution. It is a national paper, with pages of regional content. Its closest to the National Liberal Party in ideology, but at times even more libertarian and pro free market than the party.","Journalism; Press; Afghanistan- 2001 - History; September 11 Terrorist Attacks, 2001",Romania,45.9432,24.9668,Journalism,https://www.loc.gov/item/lcwaN0020527/,,image/jpeg,"rum, ron",,,,,
boerrigter008,thekyivpost.JPG,Kyiv Post,,2022,The Kyiv Post is Ukraineís English-language newspaper active since 1995 covering all issues of life in Ukraine. Website.†,Journalism; European Studies; International Relations; Social Sciences,Ukraine,48.3794,31.1656,Journalism,https://www.loc.gov/item/lcwaN0039490/,,,eng,,,,,
boerrigter009,unianiInformatsiineahentstvo.JPG,UNIAN Informatsiine Ahentstvo. UNIAN News Agency.,,2022,Website provides up to date news and information on various subject of life in Ukraine.,Journalism; European Studies; International Relations; Social Sciences; Government,Ukraine,48.3794,31.1656,Journalism,https://www.loc.gov/item/lcwaN0039481/,,,"rus, ukr",,,,,
boerrigter010,morganbladid.JPG,Morgunblai†,,2024,"Morgunblai · Netinu, a Web Site produced by Morgunbladid, a press organization, is part of the Library of Congress September 11 Web Archive and preserves the web expressions of individuals, groups, the press and institutions in the United States and from around the world in the aftermath of the attacks in the United States on September 11, 2001.","Journalism; Press; Bioterrorism; Afghanistan- 2001 - History; September 11 Terrorist Attacks, 2001",Iceland,64.9631,19.0208,Journalism,https://www.loc.gov/item/lcwaN0021643/,,,ice,,,,,
